"","X1560850_at","X1557843_at","X229381_at","X1553622_a_at","X204273_at","X230800_at","X211734_s_at","X214156_at","X209945_s_at","X228618_at","X206201_s_at","X220225_at","X228554_at","X213712_at","X226814_at","X206702_at","X205009_at","X204623_at","X220581_at","X211248_s_at","X209560_s_at","dataY"
"GSM1116155_BC16_ARN0001_s1h1s1_U133p2.CEL.gz",3.26874325714943,3.10959388666445,5.25152365630078,3.84914461984657,3.3374728629205,6.03986413398229,3.51332095018561,3.24427767967244,9.22255925041154,4.12634933487292,2.73052083063249,4.68970224454954,4.32625128427196,4.08198468752547,5.03142019664161,4.58833464227924,4.4835295935399,5.8777342090782,4.22440073128519,5.07180141999417,4.07275012433016,0
"GSM1116156_BC16_ARN0002_s1h1s1_U133p2.CEL.gz",3.06425257655532,2.62899016384345,5.39669928428149,3.51361272544819,3.25793635360443,5.88150002121563,4.01173057545885,2.9517666529269,9.30970804003555,4.53520918586309,2.82869885080183,4.30179441741775,4.07117925279674,3.79543969394854,4.83844949746801,4.0521298322107,4.41552586772964,5.36726004590286,4.27703001335917,5.08954618323453,3.7231233187167,0
"GSM1116157_BC16_ARN0003_s1h1s1_U133p2.CEL.gz",3.52469783700389,3.08044757937665,5.14965481344411,3.88659016993522,2.96506705108154,5.7236783917644,3.76467792568415,3.98954367997937,8.64486493243657,5.5779132560735,2.81158723966923,9.30796376247857,4.42295480237057,5.36969245951657,4.56108126810085,4.06173074810731,4.51812093893933,5.28715842431637,4.18071096037013,4.15613017765276,3.78672334969182,1
"GSM1116158_BC16_ARN0004_s1h1s1_U133p2.CEL.gz",3.02086139729997,3.0779158752064,5.56635934463153,3.16780698619241,3.21743752133867,5.78796532315044,3.60297124408353,3.43960532713354,8.89144219330586,4.76099829625225,2.94456880446886,4.14299098029972,4.22945976822915,6.6061125572094,8.27593959865201,3.98820429528142,4.14449220649575,5.08837093435499,3.80900061020119,4.49182876734069,3.84197979062391,1
"GSM1116159_BC16_ARN0005_s1h1s1_U133p2.CEL.gz",3.54884435675374,2.91082997784093,5.31879381471037,3.28704718164121,6.09863210656713,5.99687020579772,3.68567817609115,3.68078467715359,8.77966844240465,5.88693641657325,2.74258444545001,6.13460657535022,4.06366717926324,3.76026698705673,5.78500307668538,4.33609684038278,4.81381432644488,5.85833726138174,4.06859016041564,4.666092367759,4.01166240813221,1
"GSM1116160_BC16_ARN0006_s1h1s1_U133p2.CEL.gz",3.06865679194391,2.93052639880656,5.13633831787896,3.53480619172757,2.89818137416988,6.16035415473519,3.48580245764252,3.01108919808242,8.46880644461148,4.59995710734727,2.73264370785979,4.38563716981408,4.33807568598957,4.82203485352283,4.49791927066851,4.29705470223869,3.9438291208098,5.26791612123418,4.01154119295707,4.76053136125901,3.92219302680255,1
"GSM1116161_BC16_ARN0007_s1h1s1_U133p2.CEL.gz",3.32958445592982,3.19686726478784,5.03833356152437,3.35113938882205,3.08938867445605,5.86110227271985,3.54836484884295,3.28036386406286,8.28130681507578,4.91481634032436,2.77638319693201,5.70836817234101,5.36181527747542,3.80723571336475,5.24900394572039,4.2688278377664,4.80459485420799,5.46770513821994,4.26756579071093,4.91126209213136,4.58569226557777,1
"GSM1116162_BC16_ARN0008_s1h1s1_U133p2.CEL.gz",3.52879847667557,2.95214969204068,5.47403794794627,3.29249318560071,4.25501767131451,5.94990578868449,3.53921237233606,3.37539610343828,7.64888662124128,5.36853158200487,2.98980408957408,4.30323805517633,4.36003437030327,4.46281077264489,7.69562544617547,4.73717599933347,4.66961562058891,5.85449517205375,4.08024116015772,4.96656143680837,4.18177083101177,1
"GSM1116163_BC16_ARN0009_s1h1s1_U133p2.CEL.gz",3.18770613882466,2.9361756496624,4.91550245386154,3.33781227929848,2.69114023935181,5.78262125723633,3.78410488463272,3.75426346689203,9.05236608832038,4.57041544145277,2.84120586794176,4.65640090427782,3.7874146609908,6.21448904044909,7.6847818463403,4.55066026168596,4.35347070244223,5.42171766319555,4.27768385147871,4.95192269566738,4.15553183008586,1
"GSM1116164_BC16_ARN0010_s1h1s1_U133p2.CEL.gz",3.277852418118,3.1927497283424,5.33006555729144,3.72306929767326,3.21720072221052,6.37807731035516,4.08362483242011,3.1547394340218,8.1306457004411,4.73820756614439,2.82088446129602,4.50350533928095,4.7095554560182,5.4409860776292,6.4732294532439,4.83429192353481,4.50543838689097,5.41905125127884,4.17687651313384,4.85764305159418,4.06145021758465,1
"GSM1116165_BC16_ARN0011_s1h1s1_U133p2.CEL.gz",3.74263657257846,2.91443490898521,5.28737018264556,3.03846200977181,2.77832935055853,6.13767912963054,3.80630484090765,3.62704262336276,8.44360927088399,4.72694184884904,2.81373953106412,4.55306061851782,4.5200008566348,6.14605335217312,5.52664919754324,5.25210715101056,5.46269575252429,6.09101581934864,3.89398599737927,5.12448071885648,4.39059305016227,1
"GSM1116166_BC16_ARN0012_s1h1s1_U133p2.CEL.gz",3.33902211970535,3.05294385049402,5.62499163608316,3.66805434827601,2.90147691504185,6.65548708096906,3.75870748308488,3.36039873854723,9.26317640595537,4.47051965894207,2.92943922968822,4.30703524987333,4.78828196275857,5.32682181745601,4.94185195022375,4.64361832542011,4.74168411828555,5.09432008694154,4.37577752800875,5.06008807836727,3.73288549349674,1
